price_id,daily_price,weekly_price,monthly_price,cleaning_fee,security_deposit
519,195.0,1450.0,5500.0,,
520,75.0,,,25.0,100.0
521,50.0,,,10.0,
522,75.0,450.0,1500.0,20.0,
523,85.0,419.0,1539.0,75.0,500.0
524,150.0,,,100.0,
525,922.0,,,299.0,2500.0
526,600.0,,,200.0,1500.0
527,350.0,2500.0,9500.0,150.0,500.0
528,105.0,,,75.0,550.0
529,499.0,,,295.0,1000.0
530,98.0,623.0,2198.0,20.0,150.0
531,69.0,399.0,1499.0,25.0,200.0
532,85.0,,,75.0,200.0
533,75.0,450.0,1200.0,,
534,80.0,,,,100.0
535,700.0,1250.0,,,500.0
536,115.0,,,45.0,200.0
537,65.0,,800.0,,
538,100.0,,,35.0,
539,198.0,775.0,2750.0,20.0,95.0
540,75.0,,,,
541,175.0,,,80.0,500.0
542,200.0,,,75.0,
543,200.0,,,50.0,300.0
544,110.0,,,,
545,55.0,385.0,1650.0,40.0,100.0
546,85.0,488.0,1722.0,100.0,1500.0
547,500.0,3500.0,10000.0,150.0,1500.0
548,99.0,,,40.0,1500.0
549,80.0,,,100.0,200.0
550,200.0,1200.0,2500.0,100.0,500.0
551,140.0,625.0,,,100.0
552,80.0,506.0,1950.0,100.0,500.0
553,149.0,1000.0,3250.0,150.0,250.0
554,89.0,,2400.0,100.0,1000.0
555,99.0,649.0,1999.0,,
556,59.0,,,,
557,49.0,,,35.0,
558,85.0,,,50.0,100.0
559,75.0,,,45.0,300.0
560,78.0,,,,
561,68.0,,,10.0,200.0
562,167.0,,,99.0,250.0
563,99.0,610.0,2145.0,90.0,250.0
564,57.0,482.0,1701.0,60.0,150.0
565,175.0,,,100.0,500.0
566,88.0,,,80.0,200.0
567,200.0,1200.0,,80.0,
568,195.0,1120.0,4200.0,60.0,500.0
569,350.0,,,250.0,500.0
570,390.0,,,300.0,1000.0
571,385.0,,,150.0,750.0
572,85.0,530.0,1600.0,10.0,
573,125.0,,,,
574,120.0,675.0,2000.0,25.0,
575,65.0,,,50.0,
576,75.0,500.0,2000.0,,
577,89.0,598.0,2198.0,20.0,150.0
578,34.0,,,25.0,
579,169.0,2450.0,10000.0,75.0,500.0
580,63.0,,,50.0,200.0
581,99.0,,,60.0,500.0
582,62.0,,,25.0,150.0
583,56.0,,,,100.0
584,150.0,,,50.0,
585,55.0,,,,
586,55.0,,,25.0,200.0
587,70.0,,,,
588,24.0,143.0,504.0,,
589,126.0,,,95.0,350.0
590,125.0,,,99.0,500.0
591,59.0,,,15.0,
592,115.0,750.0,,15.0,
593,70.0,,,,
594,110.0,625.0,2205.0,95.0,300.0
595,150.0,,,75.0,200.0
596,99.0,,,50.0,
597,110.0,,,20.0,
598,213.0,,,80.0,
599,125.0,,,,
600,250.0,1600.0,,80.0,300.0
601,75.0,,,,
602,34.0,200.0,,,
603,75.0,,,,
604,99.0,,,35.0,200.0
605,130.0,,,65.0,500.0
606,120.0,800.0,2500.0,150.0,150.0
607,175.0,,,75.0,1500.0
608,98.0,,,45.0,200.0
609,99.0,,,30.0,
610,125.0,,,50.0,750.0
611,109.0,,,95.0,450.0
612,35.0,,,,
613,80.0,,,,
614,89.0,,,,
615,100.0,850.0,2000.0,150.0,450.0
616,50.0,250.0,900.0,40.0,
617,89.0,600.0,1800.0,30.0,
618,125.0,,,,
619,60.0,,,,
620,150.0,790.0,2400.0,50.0,150.0
621,45.0,,,15.0,
622,475.0,,,199.0,
623,65.0,,,,
624,75.0,,,30.0,
625,150.0,,,,
626,62.0,187.0,750.0,,
627,300.0,,,100.0,1000.0
628,651.0,,,200.0,1500.0
629,44.0,,,,
630,37.0,244.0,,20.0,
631,300.0,,,25.0,
632,100.0,,,,
633,49.0,300.0,1100.0,12.0,0.0
634,200.0,,,150.0,200.0
635,106.0,,,,
636,68.0,625.0,2500.0,25.0,100.0
637,195.0,,,80.0,350.0
638,125.0,,,,
639,115.0,,2900.0,85.0,200.0
640,99.0,,1900.0,85.0,200.0
641,50.0,380.0,890.0,50.0,250.0
642,35.0,225.0,750.0,,
643,100.0,600.0,1474.0,25.0,500.0
644,55.0,,,,
645,80.0,,,45.0,150.0
646,75.0,,,25.0,100.0
647,55.0,,,25.0,200.0
648,40.0,250.0,800.0,,
649,88.0,,,50.0,100.0
650,89.0,623.0,,20.0,100.0
651,99.0,,,25.0,500.0
652,100.0,,,,
653,60.0,,,,
654,99.0,,,50.0,200.0
655,130.0,,,50.0,200.0
