availability_id,availability_30,availability_60,availability_90,availability_365
596,11,41,71,161
597,7,15,31,282
598,14,29,39,295
599,0,0,0,0
600,0,0,0,0
601,8,35,61,62
602,0,0,0,122
603,0,0,0,0
604,30,60,90,365
605,0,6,36,207
606,30,60,90,365
607,15,42,72,161
608,13,41,71,342
609,0,0,0,256
610,29,56,86,175
611,23,39,64,290
612,0,0,19,200
613,30,60,90,179
614,30,60,89,89
615,30,60,90,365
616,0,0,0,77
617,11,25,42,300
618,30,60,90,179
619,26,56,86,361
620,0,0,0,0
621,17,17,17,292
622,14,21,32,284
623,30,57,86,86
624,7,26,31,102
625,26,56,86,176
626,0,0,0,0
627,22,52,82,82
628,30,60,90,365
629,29,59,89,364
630,0,4,11,11
631,0,0,0,124
632,0,0,0,0
633,8,25,42,306
634,27,57,87,87
635,30,60,90,365
636,17,17,17,271
637,18,39,69,159
638,0,0,0,0
639,0,0,0,91
640,6,36,66,341
641,0,0,8,239
642,0,0,0,123
643,1,1,17,292
644,10,23,37,290
645,19,49,57,324
646,15,15,15,269
647,12,42,72,347
648,25,46,73,344
649,30,60,90,365
650,30,60,90,365
651,30,60,89,89
652,30,60,90,365
653,5,35,65,340
654,0,0,3,3
655,0,0,0,57
656,28,58,88,363
657,18,38,56,279
658,27,57,87,362
659,10,33,35,35
660,25,55,85,360
661,6,23,51,143
662,29,59,89,179
663,11,41,71,346
664,2,2,2,220
665,17,47,77,352
666,8,31,61,336
667,0,30,60,150
668,20,43,73,346
669,26,56,86,86
670,30,60,90,365
671,12,41,41,316
672,0,0,0,0
673,30,60,90,365
674,0,15,45,135
675,30,60,90,365
676,24,54,84,359
677,29,59,89,364
678,1,31,61,336
679,23,50,59,149
680,5,13,13,151
681,6,11,32,307
682,29,57,87,177
683,9,9,9,9
684,30,60,62,330
685,29,59,89,364
686,30,60,90,365
687,30,60,90,365
688,20,43,45,53
689,30,60,90,365
690,19,45,45,211
691,0,0,0,122
692,30,60,90,180
693,15,45,75,350
694,30,60,90,180
695,30,60,89,89
696,7,37,67,220
697,20,43,49,131
698,29,59,89,89
699,0,0,0,0
700,1,28,58,333
701,30,60,90,365
702,0,0,0,0
703,30,60,90,365
704,7,27,57,88
705,20,50,80,355
706,12,30,34,273
707,10,35,39,39
708,30,60,90,365
709,0,0,0,90
710,25,55,85,360
711,30,60,90,365
712,30,60,90,179
713,0,0,0,3
714,0,21,51,141
715,18,48,78,168
716,10,28,31,31
717,29,59,89,364
718,30,60,90,90
719,0,12,42,317
720,30,50,50,247
721,26,56,86,361
722,0,0,0,28
723,30,60,90,365
724,30,60,90,180
725,29,59,89,364
726,28,58,88,363
727,16,46,76,166
728,0,1,1,265
729,13,14,43,43
730,23,53,83,173
731,30,60,90,365
732,4,34,64,196
733,0,23,53,328
734,29,59,89,364
735,30,60,90,365
736,27,57,87,362
737,5,11,22,62
738,29,59,89,179
739,0,0,0,0
740,0,0,0,214
741,14,28,31,31
742,28,58,88,178
743,0,0,0,264
744,14,39,42,42
745,26,56,86,176
746,19,39,39,295
747,14,44,74,349
748,28,58,88,241
749,22,52,82,357
750,13,43,73,239
751,29,59,89,364
752,24,54,84,359
753,30,60,90,180
754,29,59,89,364
755,13,14,43,102
756,29,59,89,364
757,14,39,39,70
758,28,58,88,88
759,26,56,86,361
760,16,39,69,330
761,0,0,6,281
762,28,58,88,88
763,0,0,0,0
764,23,52,81,81
765,26,56,84,208
766,5,15,19,144
767,29,59,63,63
768,28,58,88,363
769,23,53,83,358
770,27,57,87,87
771,7,11,11,11
772,28,28,28,242
773,14,35,56,146
774,0,0,0,254
775,11,11,28,28
776,19,37,37,293
777,28,58,88,178
778,0,1,31,121
779,0,0,16,291
780,30,60,90,365
781,24,54,84,174
782,23,53,83,173
783,13,37,63,150
784,29,59,89,364
785,25,55,85,85
786,30,60,90,365
787,30,60,90,180
788,0,7,14,14
789,30,60,90,365
790,30,60,90,90
791,25,55,85,360
792,25,55,85,175
793,20,50,80,355
794,30,60,90,365
795,30,60,90,365
796,10,40,70,345
797,24,54,84,201
798,27,57,87,177
799,13,15,15,15
800,2,32,62,337
801,24,54,84,84
802,21,51,81,356
803,23,50,50,319
804,0,0,29,304
805,28,58,88,357
806,0,0,0,264
807,20,50,60,139
808,26,56,86,185
809,1,31,61,150
810,29,59,89,364
811,30,60,89,89
812,27,57,87,362
813,18,48,77,77
814,1,31,61,150
815,15,30,32,32
816,30,60,90,365
817,30,60,90,365
818,30,53,53,308
819,30,60,90,365
820,12,42,71,71
821,27,47,47,244
822,30,44,68,157
823,2,32,62,337
824,30,60,90,365
825,12,31,31,33
826,1,31,61,214
827,12,41,65,340
828,30,60,90,179
829,0,21,51,140
830,30,60,90,365
831,1,31,61,150
832,0,21,50,50
833,0,0,0,264
834,23,50,80,355
835,12,41,65,340
836,30,60,90,365
837,0,0,24,299
838,30,60,90,365
839,30,60,90,365
840,10,36,42,82
841,30,60,90,365
842,23,35,35,35
843,27,28,28,28
844,0,13,30,285
845,29,59,89,179
846,30,60,90,129
847,9,39,69,335
848,23,52,80,352
849,29,59,89,179
850,30,60,90,90
851,30,60,90,365
852,30,56,86,361
853,0,0,4,279
854,15,15,16,106
855,1,31,61,151
856,0,0,0,0
857,1,8,11,101
858,24,48,48,303
859,27,45,45,252
860,28,58,88,88
861,18,18,18,279
862,23,53,83,166
863,8,38,68,158
864,0,0,9,253
865,0,0,0,0
866,23,53,83,173
867,0,0,0,0
868,6,15,15,246
869,0,0,7,97
870,29,59,89,179
871,29,54,84,84
872,30,60,90,180
873,29,59,89,179
874,0,16,16,266
875,0,0,0,0
876,27,57,58,58
877,0,0,0,0
878,0,1,1,245
879,14,43,73,195
